DATAFLOW,LAST UPDATE,freq,direct,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2007,3924,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2008,4250,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2009,3043,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2010,2947,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2011,2212,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2012,1933,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2013,1315,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2014,1223,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2015,1116,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2016,1278,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2017,1230,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2018,648,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2019,1422,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2020,1206,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2021,1155,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2022,1170,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2023,790,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2024,748,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2025,681,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,1997,17693,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,1998,17574,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,1999,18698,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2000,18481,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2001,16051,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2002,16311,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2003,13776,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2004,12702,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2005,14167,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2006,16778,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2007,17155,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2008,17220,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2009,18403,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2010,17955,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2011,16921,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2012,14505,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2013,13180,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2014,12836,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2015,11366,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2016,10997,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2017,10352,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2018,11782,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2019,16083,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2020,16728,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEZEE,2021,20495,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2001,11927,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2002,11600,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2003,12696,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2004,13614,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2005,14293,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2006,16250,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2007,15853,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2008,16791,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2009,11797,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BG,2010,11847,,
