DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2026,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2013,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2014,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2015,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2016,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2017,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2018,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2019,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2020,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2021,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2022,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2023,1635,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2024,1640,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2025,1640,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT112,2026,1640,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2013,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2014,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2015,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2016,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2017,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2018,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2019,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2020,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2021,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2022,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2023,1451,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2024,1449,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2025,1449,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT113,2026,1449,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2013,18908,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2014,18908,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2015,18908,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2016,18908,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2017,18908,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2018,18907,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2019,18907,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2020,18907,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2021,18907,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2022,18907,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2023,18907,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2024,18903,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2025,18903,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT12,2026,18903,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2013,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2014,3301,,
